Overlay,VHR,HeritagePlace
HO191,H177,169 VICTORIA PARADE FITZROY Blanche Terrace
HO192,H178,171 VICTORIA PARADE FITZROY Blanche Terrace
HO193,H179,173 VICTORIA PARADE FITZROY Blanche Terrace
HO194,H180,175 VICTORIA PARADE FITZROY Blanche Terrace
HO195,H181,177 VICTORIA PARADE FITZROY Blanche Terrace
HO196,H182,179 VICTORIA PARADE FITZROY Blanche Terrace
HO197,H590,203 VICTORIA PARADE FITZROY Terrace
HO198,H1606,557-567 DRUMMOND STREET NORTH CARLTON Cambridge Terrace
HO199,H1626,60 LEE STREET NORTH CARLTON Lee Street Primary School No.1252
HO200,H76,100 PATERSON STREET PRINCES HILL Terrace
HO201,H77,102 PATERSON STREET PRINCES HILL Terrace
HO202,H78,104 PATERSON STREET PRINCES HILL Terrace
HO203,H79,106 PATERSON STREET PRINCES HILL Terrace
HO204,H80,108 PATERSON STREET PRINCES HILL   Terrace
HO205,H81,110 PATERSON STREET PRINCES HILL Terrace
HO206,H82,112 PATERSON STREET PRINCES HILL Terrace
HO207,H83,114 PATERSON STREET PRINCES HILL Terrace
HO208,H84,116 PATERSON STREET PRINCES HILL Terrace
HO209,H85,118 PATERSON STREET PRINCES HILL Terrace
HO210,H718,1021-1029 RATHDOWNE STREET & 440 PARK STREET NORTH CARLTON Former Cable Tram Engine House
HO214,H939,863 BRUNSWICK STREET NORTH FITZROY Former North Fitzroy Electric Railway Substation
HO215,H751,Cnr Freeman Street BRUNSWICK STREET NORTH FITZROY Fitzroy Cricket Ground Grandstand
HO216,H163,96 MCKEAN STREET NORTH FITZROY   Haselmere (Residence)
HO217,H148,10 CHURCH STREET NORTH FITZROY Former Methodist Church (Uniting Church)
HO218,H821,20 RUSHALL CRESCENT NORTH FITZROY Old Colonists' Homes includes landscaping
HO219,H176,131 ST GEORGES ROAD NORTH FITZROY York House
HO220,H900,251 ST GEORGES ROAD NORTH FITZROY Former North Fitzroy Post Office
HO221,H892,370-374 QUEENS PARADE NORTH FITZROY ANZ Bank
HO224,H2165,22-50 BENDIGO STREET RICHMOND Former Wertheim Piano Factory (GTV9 Studios)
HO226,H710,18 BERRY STREET RICHMOND House
HO229,H50,Yarra River BRIDGE ROAD RICHMOND Hawthorn Bridge
HO239,H1917,Yarra River CHURCH STREET RICHMOND AND CREMORNE Church Street Bridge
HO240,H626,560 CHURCH STREET CREMORNE Former Bryant and May Industrial Complex
HO241,H211,293 CHURCH STREET RICHMOND Former Lalor House
HO242,H586,350-362 CHURCH STREET RICHMOND St Stephen’s Anglican Church The heritage place includes Vicarage
HO251,H1635,138-160 BUCKINGHAM STREET RICHMOND Primary School No. 2798
HO257,H651,29 ERIN STREET RICHMOND Elim
HO258,H1362,24-28 GIPPS STREET RICHMOND Former Richmond Rifles Volunteer Orderly Room
HO259,H1149,21-31 GOODWOOD STREET RICHMOND Pelaco Sign
HO260,H1610,7 GLEADELL STREET RICHMOND Former Gas Inspector’s Residence
HO267,H719,171 HODDLE STREET RICHMOND Urbrae
HO273,H711,36 LESNEY STREET RICHMOND Residence
HO279,H1055,658 CHURCH STREET CREMORNE Former Richmond Power Station
HO287,H380,Yarra River SWAN STREET RICHMOND Wallen Road Bridge
HO288,H732,216 SWAN STREET CREMORNE Former State Bank
HO292,H374,Yarra River VICTORIA STREET RICHMOND Victoria Bridge
HO301,H1552,"YARRA BEND ROAD FAIRFIELD Fairlea Womens Prison, Yarra Bend Asylum (includes Asylum Gate Pillar, Remnant Trees)"
HO303,H1878,"101 YARRA BEND ROAD, FAIRFIELD Fairfield Hospital (former)"
HO306,H2052,500 AND 500A YARRA BOULEVARD BURNLEY Burnley Gardens
HO345,H1939,"38-40 BRUNSWICK STREET, FITZROY Former Melbourne Veterinary College"
HO346,H1927,"18, 20A & 20B DARLINGTON PARADE, RICHMOND Vaucluse College"
HO347,H1967,20-22 BRUNSWICK STREET FITZROY Cathedral Hall
HO350,H2049,2 GOUGH STREET CRMEORNE Nylex sign 2 & 15 GOUGH STREET CREMORNE STREET Richmond Maltings
HO352,H75,LULIE STREET ABBOTSFORD Victoria Park The heritage place includes garden reserve
HO353,H2083,651-653 VICTORIA STREET ABBOTSFORD Skipping Girl Neon Sign
HO354,H2055,35 JOHNSTON STREET COLLINGWOOD Keith Haring Mural
HO355,H1687,"ALEXANDRA PARADE FITZROY “Aqua Profonda” sign, Fitzroy Pool"
HO356,H97,185-193 FITZROY STREET AND 12 COWELL STREET FITZROY Christian Israelite Sanctuary
HO357,H48,90-92 SWAN STREET RICHMOND   Former Richmond South Post Office
HO358,H2172,95 KING WILLIAM STREET FITZROY All Saints Church Hall
HO359,H2146,326-348 CHURCH STREET RICHMOND St Ignatius Church Complex
HO360,H2184,140-160 SWAN STREET CREMORNE Dimmeys
HO468,H2243,111 QUEENS PARADE FITZROY NORTH Porter prefabricated iron store
HO469,H2333,YAN YEAN WATER SUPPLY SYSTEM Clonbinane To Fitzroy North
